ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
HSRNASEB,288,190.8,218.8,135.8,179.3,244.7,209.7,201.8,199.6,215.6
CASP6,31.1,83.5,88,79.9,65,36.7,72.9,53.2,113.5,75.9
ASCL1,39,-12.8,36.7,-15.5,13.7,-21,10.2,2.3,-10,-21
ZNF212,197,196.4,195.3,121.4,185.7,189,138.6,197.6,80.8,150.5
INSL3,303.5,338.8,225,235.4,201.6,258.2,230.5,254,316,288
NDUFV1,110.5,106.2,35.5,120.6,49,199.7,160.8,39.9,58.8,72
ATP5G1,1711.2,1174.2,1698.2,1300.1,1273.3,1374.2,1166.3,1596.3,1418.2,1493.7
KIAA0260,100,124,136.5,108,112.2,90.2,118,98,167.1,124.5
CR1,-21,-44.6,-17.6,30.3,-3,-18.2,-41.3,-82.4,-7.8,-16.8
ARFRP1,1186.6,1092.7,1158.6,945.9,1068,1039.8,811.8,1211.3,964.8,1035.1
CAP,2599.8,2831,2676.3,2745.6,2363.2,3104.1,3063.4,2546.9,2202.5,2446.4
RPP38,168.3,124,101.8,148.4,141.2,159,134.3,98,184.4,223.9
CPA2,291.1,181,310.8,125.7,200.7,178,132.2,153.7,169.4,91.3
TRAF6,120,130,87,78.2,75.1,98.8,103,53.9,104.7,124.5
LTA,-142.6,-66,-118.3,-30.6,-57.9,-39.3,-96.3,-63.6,-104.7,-111.7
RASA2,60.4,27.7,52,36.7,75.9,12,82.6,98.8,54.8,33
IGHM,70.2,11,40.5,-11.8,29,-9,-5.3,18.5,37,25.3
GNRHR,13.4,26.9,10,-5.3,-6.5,13,1.8,5.7,43.3,7.3
ATP6A2,8.1,-33.9,8.3,37.8,-19,-17.3,-8.8,-26.8,-25.2,14
KIAA0130,271.4,203.6,264,429,383.6,245.5,313.1,256.5,316,277.9
KRN1,45,0.8,-33.6,42.4,65.9,-1.3,4.2,44.1,-17.3,58
VEGFC,-85.2,-106,-6.5,-32.8,11.3,-23,55.6,-11.8,-23.5,-32.1
CDH3,243,306.6,74.3,525.6,108.8,138.6,84.4,483.7,76.7,93.6
ALOX5,651.9,1038.4,1085.6,787.6,1165.8,809.9,731.5,909.7,634.3,1118.9
PDE4C,-254.7,-68.2,-97.8,-30.6,45,25.2,-37.8,-193.8,50.2,-25.7
OMG,59.3,45.9,41.2,33.2,-2.1,12,-3,34.6,-3.5,71.2
GUSB,1118.7,1114.3,827.5,912.9,1216.7,873.9,892.6,874.7,930.5,1055.9
RXRB,254.4,149.4,54.5,147.5,156.1,254.8,228,184.7,126,162
GJA1,-4.3,-54.6,9,27.7,-24,22.7,59,-1,31.2,58
EPHA5,0,-3.8,25.2,21,-73.4,-32,35.5,-1,107.2,49
MLANA,88,41,55.1,27.7,71.1,33.2,63,65,87.1,34
MUC3A,758,533.3,712.9,622.7,744.4,658.8,576.4,809.9,703.7,883
FLJ14038,450.5,421.5,543.9,357.8,366.8,460.6,320.2,338.6,457.5,435
KIAA0229,454.9,384.2,616.1,375.8,407.8,346.2,517.3,327.3,489.1,583.7
PCTK1,267.8,255.4,247,322.5,239,246.4,248.1,265,315,329.8
MAPK6,418.5,550.8,394.9,744.6,747.2,442,675.4,450.3,692.3,435.8
BCL2,-15,58,45,3,12.9,21,10.2,-7.9,23.1,9
ITGA2B,19.3,14,14,79.9,7,-34,1.8,-15.5,12.5,40.7
ITPR1,491.7,416.2,482.5,436.3,403,369.2,471.5,392.7,411.7,389.5
ITGA3,550,531.1,606.8,562.9,589.6,549.3,536.2,524.9,555.7,755
KRTHB3,246.5,176,158,225.9,289.7,223.9,170.2,136.5,202.8,265
ARC,110.5,81.2,84,118.9,129,62.3,127.6,72,33,46
ETS1,-45.7,-63.1,-21.8,-2.1,-54.5,-35,-64.2,-61.2,-56.8,-0.3
CALD1,523.9,429.3,693.2,552.4,385.2,843.9,811.8,554.4,655.4,530.5
KSR,378.8,409.2,217.1,215.4,344.1,348,297.4,339.5,374.7,406.7
ACP1,450.5,547.8,321.4,382.9,447,447,681.9,423.4,558.5,541.4
FGB,21.7,13,35.5,102.4,18.5,108,47.3,49,95.3,82
MYT2,-26.8,5.6,5,27.7,6,-29,-11.2,-13.7,35,-3.6
LCN2,80,317,122.6,3201.9,202.4,65,115.5,163.6,318.6,83
REN,102,73.8,131.1,91,117.2,88,77.2,139.7,101.3,98
EWSR1,461,530.4,400.7,443,498.6,512.5,419.8,447.8,353,540.6
SKIL,81,32,1.7,20.2,20.2,6.4,20.2,18.5,1.9,45
BPI,87,167.1,181.5,154.5,170.6,169,107.2,30.3,61.4,171
SEC24C,641.9,591.5,771.3,662.6,764,578,614,699.4,509.8,697.9
GAPD,95.5,88,155.8,89,34.3,106.3,99.7,214.9,145.8,151.5
NFKBIA,3619.3,3545.5,5202.1,4101.5,11363.5,3673.1,6148.2,4309.2,8255.1,6202
HSMCR30,-33.5,-41.7,-21,-16.4,-35,-52.7,-51.9,-23.3,-33.5,-22.6
SNRPE,888.3,794.2,928.3,842.7,712.7,904,901.5,876.4,833.1,844.9
TGFBR2,2731.8,1819,3474.8,2488.4,2500.6,2882.1,3534.3,2645.1,3138.9,3710
NR4A1,130,123,47,83.5,132.8,59.7,141.8,126.3,113.5,64
HSPC194,-13,48.5,70.2,6,36.7,-48.2,-4.2,-7.9,30.5,27.2
TAB1,30.3,95,50,20.2,95,96.9,62,83.5,75.9,99.8
EPIM,-13,18.5,4.3,9,-11,-5,28.4,37.2,-36.8,10
ABH,34.3,33.2,25.2,26,63.7,39,46.2,57,63.2,52
LIG3,140,224,123.5,110.7,163.7,130,81.7,79,132.2,110.3
CSF2RB,-19,84.6,1,11.3,-23,31,-27.8,-20.1,8.1,-22.6
GYPE,78.1,81.2,116.2,69,108.8,85.3,25,-6.5,118,88
MBP,55.6,79,79,32,79.9,67.6,78.1,62.3,79,108
SOD3,1138.9,1072.6,1319.6,1578.7,1124.9,1065.1,1031.8,1266,1272.7,1280.9
HSRTSBETA,205,122,209.4,177,319.9,54.9,198,78.1,238,130
GRIN2B,34.3,-50.3,-57.8,26,34.3,-7,-0.6,-15.5,-1.4,0.3
SPINT3,-19,-33.9,-11.7,-85,-21,16,-34.6,-38.4,-28.5,1.7
PKP1,23.9,27.7,49,0.4,-80.7,-39.3,14.8,44.1,-39.3,57
CHRNA5,46.6,23.1,-13.4,7.5,-13,-10,19.3,41.6,21,-1.7
PDGFA,7.3,22.4,-28.1,-45.3,27,-2.1,-64.2,-6.5,16,40.7
KLRC1,54.9,7.3,39.8,61.6,50,40.5,14.8,31.1,18.1,21.7
KIAA0089,593.9,579,993.2,492.6,835,577.2,978.7,634,702,1365.5
HOXC6,262.4,267.3,291.1,186,208.7,236.9,158.9,242,331.7,245.9
KLK3,-16,-25.3,-5.6,28.6,2.1,-16.4,22,8.3,14.2,5.6
FOLR3,-75.6,-71.5,-24.9,105.8,-46.4,79,9,76.4,3.9,-2.3
DBH,30.3,39,63.9,50,32,36.7,48.5,61.4,79,65
SCTR,260.6,236.3,251,347.1,386.9,342.7,220.8,328.3,222,290
HSF2,127,124,125.4,108.9,105.3,113.4,163.6,118,187.2,137
TBL3,141,89,205.1,118,102.5,84.4,145.8,98,57,167
DMPK,435,304.6,695.8,415.7,348,466.1,613.2,520.1,584.1,394.5
ZNF37A,31.1,48.5,117.1,61.6,101.6,75.1,65,56.4,87.1,71.2
ZNF7,68.5,53.2,78.2,26,41,55.6,98,67.3,41.6,58
GBX2,-53.4,-34.9,-58.7,-6.1,72.8,0.4,-90.5,-22.2,-18.1,-33.6
PMSCL1,75.5,93,68.5,110.7,68.5,75.1,119.6,39,50.2,84
DNAJB2,504.3,402.1,519,426.3,474.6,332.9,438.8,379.4,539.7,429
LTK,470.7,374.2,443,405.4,489.2,386.1,321,392.7,494.4,383
PDK4,180,51.1,53.9,70,43,79,87.1,52.6,110.7,74.3
RAD54L,21.7,-18.2,6.3,16,-5.1,19.3,6.6,25.2,-33.5,-33.6
PRCP,1151.4,1502.6,1388,1093.6,1053.8,1247.5,1252.8,1309.3,1045.2,693.8
USP5,461.9,508.6,509.1,529.1,491,425.2,354.1,565.1,378,387.3
CAMK1,-8.1,58,72,24.3,62.3,33.2,120.4,65,38,9
PPP2R3,128,112.2,149.4,178,214.1,131.1,95.3,149.4,174,52
LAMC2,4.7,-0.8,-27.3,4.5,-22,-5,4.2,-33.7,-19.5,-6.8
RAC2,528,488.4,426.2,441.7,464.2,496.1,348.7,337.7,287,390.9
PGM1,18.5,72,29,25.2,14.4,72,63,52,-0.3,78.2
SDCCAG8,131,85.8,150.5,114.4,202.4,125.2,238.8,142.9,142.9,221.9
AQP4,134,212.8,219.6,296.7,299.1,394.1,232.2,222.1,297,490.8
GRM8,79,20.2,127.2,29.4,108.8,71.1,46.2,55.8,166,107.1
MCF2,-63.1,-15.5,-26.5,10.2,-62.5,-20.1,-34.6,-5.1,39,-81.8
RASGRF1,-4.9,42,71.1,46,4,29,65.9,4.3,0.8,13
NR3C1,363.4,412.3,453.4,297.7,486.7,433.6,438.8,498.4,533.8,438.8
VIPR2,25.3,34.3,25.2,18.5,54.5,70.2,42,-6.5,26,48
ENPP2,367.2,555.5,1289.8,730.1,1020.6,638.7,1613.7,928.5,1258.1,473
RDC1,71.1,73.8,113.5,83.5,47,87.1,118,67.3,125,105.3
RNF,-4.3,-1.5,1.7,-19.2,-21,1.3,-11.2,-7.9,-24.3,-28.9
GPC3,558.8,552.3,1334.6,506.8,523.9,525.3,1488.7,730.9,1469.1,857.3
ALDOA,4788.1,5146,4567,5702.8,5163.7,4955.7,2232.9,4631.7,4326.5,5329.6
BRS3,-6.2,13,-15.9,-28.5,47,2.1,-44.8,-20.1,-8.9,-1
KPNA5,26.9,4.7,3.7,52.7,29,40.5,32,54.5,53.1,54.5
TACTILE,9,41,6.3,26.9,75.9,15,6.6,68.1,-5.7,52
MEP1A,-89.9,-3.8,6.3,-5.3,12.1,-41.6,-21,-81.3,23.9,-11.7
NDUFS1,217,277.3,145.1,255.7,243.9,280,206,200.1,218,198
TNNI1,527.2,304.6,473.4,341.6,361.3,380.9,351.4,394.9,546.6,438.8
PIB5PA,596.5,505.7,540.2,452.3,384.4,554.8,373.2,458.7,550,503.2
MGMT,284.3,274.2,341.8,228.7,181.5,202.5,328.9,257.4,212,280.6
ADCYAP1R1,18.5,4.7,59.3,-3,58.3,-2.1,9,-51.6,26,15
RASSF2,621.1,848.4,961.8,608.2,576.7,683.1,1017,822.6,576.5,588.3
MATN1,-11,-69.3,-1.7,-5.3,50,-44.9,-22.4,20.2,-75.7,-19.3
F12,327.9,314.9,342.7,178,254,275,214.1,270.8,322.7,251.6
NPEPPS,105,120,148.3,149.2,72.8,144,125.2,92,108,134.7
TOP2A,88,88,48,140.5,96,144,102.2,109.8,65,75.1
CASQ1,108,136.1,68.5,35.5,112.2,58.3,69.4,124.5,90.7,115.7
SLC6A6,-26,-11.8,1.7,10.2,-5.8,16,-3,-54,18.9,26
PDE6C,-35.2,-5.3,-7.4,-10.9,-2.1,-5,-19.8,-26.8,-23.5,-15.9
HERC3,42,17.7,-1,49,16.8,21,65,53.2,79.9,35
WRN,101,123,152.6,121.4,120,86.2,89.8,90,61.4,113.4
KRT14,82,53.2,18.1,118,16,28,56.3,63.2,59.7,89.1
UNC119,340.7,371.8,405.9,360,348.7,232.6,313.9,442.9,281,236.9
PLK,356.5,327.9,307.7,327.9,252.2,281,190,384.3,288,296
KIAA0273,-52.5,-29.6,-118.3,-168.2,-78.6,-47.1,-64.2,16.8,-144.2,-64.1
FPRL2,258.8,323.7,280,373.5,298.2,325.9,269.6,240.1,209,277
MYL2,203,187,198.9,213.6,197.1,152.4,136.5,186.8,180.6,167
UCHL1,134,45,80,39.9,198.9,126.4,69.4,97,107.2,1
IDH3G,497,543.5,495.2,524.9,460.8,514.7,412.3,593.6,468.9,466.8
LDHB,34.3,-25.3,0.3,13.7,-4.4,20.2,-17.3,93,16.7,36
PDX1,107,88,158,125.7,167.1,178,210.4,134.3,125,187.5
MRPS12,737,580.5,521.2,661.9,497.8,644.6,521.7,558.9,594.5,522.7
KRT6A,10.8,30.3,20.3,45,52.8,21,55.6,23.5,-4.1,-6.8
SPP2,71.1,65,48,83.5,79,46,57,15,7.3,85
TCOF1,251.8,381.6,247,288,236,257.4,108,332,355.5,295
HNRPAB,894.8,1025,807.3,1140.1,949.5,1089.7,811.8,991.1,802.1,684.7
PMS2L4,-26.8,-48.9,-2.3,-26.4,16,-28,-22.4,-34.8,-12.2,30.8
ITSN2,82,118,80,1.3,72,116.5,184.4,96,88.9,72.8
GCNT1,20.2,46.8,-1,33.2,4,1.3,44,1.7,47.6,46
GFPT1,184,158,167.6,261.6,249.4,252.3,252.3,261.6,254.4,252.6
TMPO,6.4,12,39,16,34.3,22.7,13.7,39.9,17.4,27.2
CUL5,66.8,55.8,44.2,41.6,39,43.5,29.6,63.2,73.6,19.6
MAPKAPK3,128,387.8,186.2,486.5,415.7,220.2,336.9,434.6,206,279.7
ANXA4,680.9,733,722.6,977.9,928.8,842.3,989.5,769.5,964.1,1067.7
CLONE-23970,195,129,249,144.9,289.7,197.7,272.7,192.5,151.9,206
CACNA1C,31.1,-3,-16.8,20.2,-17,24.3,-34.6,15,-12.2,-6.8
FHR-4,-27.7,11,59.3,22.7,-38.3,-18.2,10.2,24.3,14.2,12
SFTPA1,10260.5,8704,8599.9,8954.8,12860.9,21513.7,15945.7,9381.3,17152,15663.9
C18ORF1,78.1,45,96,28.6,68.5,67.6,68.5,76.4,55.3,44.1
CTSB,5930,8597.8,4927.2,13202.1,7860.8,7068.2,3522.2,5550.6,3895.7,3574.8
HSD3B2,-5.5,46.8,69.4,49,81.7,40.5,72,31.1,55.9,104.4
EPHB4,270.5,216.2,542.4,259.1,317,245.5,291.1,234.4,256.2,340.7
TRPC3,51.2,45.9,48,8.2,28,26,71.1,16.8,53.1,91.3
ZNF74,156.2,118,110.7,98,128,151.5,113,112.5,103.8,109.5
FABGL,364.9,388.7,455.2,229.7,403,318.8,301.3,414,384.6,406
CYP21A2,3,51.1,18.9,2.1,72,51,45,83.5,50.2,-17.6
DRD5,-47.6,16,39.8,-3.8,29,9,39,7,57,-54.8
SHMT1,42,79,47,57,48,88,56.3,16.8,29.8,94.7
SKB1,385.6,356.5,576.3,348,240,405.9,392.2,256.5,442.8,466.8
MCM3,354.2,371.1,244,286.4,236,331.2,302.1,361.2,286,269.6
ACTC,373.4,192.4,328.5,243,223,361.2,144,346.1,317.8,282.5
SAP18,961.7,983.3,766.4,961,487.5,990.4,1148.3,867.9,923.6,934.5
IL8,46.6,65,72,2397.1,1385.9,34.3,1539.1,847.3,2354.5,504
WASL,-51.5,-88.2,-28.1,-71.3,-34,-34,-67.4,-85.7,-77.2,-51
P2RY6,82,97,2.3,118.9,57,75.1,45,93,50.2,10
MLLT3,26,44,42,26,35.5,44.2,58,34.6,35,56.4
YY1,1102.8,1150.8,1214.4,826.2,1036.9,975.4,796,1075.6,709,1088.5
PTK2B,429,409.2,202.4,231.6,259.5,245.5,249.8,174,132.2,209.2
GPI,1932.5,1962.6,2142.5,2016.6,1687.9,1708.8,1134.6,1836.3,1072.7,1772.6
HLALS,153.6,200.4,167.6,179,203.3,199.7,168.4,209.6,151,210.2
MFGE8,1164.8,1296.8,1368.3,868.1,1078.9,999.3,740.5,1128.3,1265.7,1030.7
UCP1,1244.9,924.2,1507.2,1003.3,1133.1,965.8,883.7,1413.8,1064.3,1499.1
CDC25C,9,82.4,36.7,18.5,26,23.5,19.3,16.8,22.4,7.3
MLLT7,-3.6,11,-14.2,0.4,21.7,0.4,-50.1,39,15.1,-7.5
MAS1,33.2,66.8,43.5,18.5,19.3,46,18.5,25.2,18.1,32
CD2,1263.9,1789.3,398.5,483.8,314.4,1279.6,352.1,584.7,346.4,297
IQGAP2,158,265.8,215.4,210.7,279.7,191.4,163.6,138.6,207,196.2
CDA,33.2,112.2,70.2,135.8,135.6,70.2,194.4,160.8,7.3,174
MHCBFB,25.3,-46,-21.8,-13.7,27,-48.2,-18.6,-3,3,3.9
FUT1,123,164.9,273.8,140.5,237,187,231.3,149.4,230,247.8
HOXA4,45.8,69.4,74.3,46,83.5,32,48.5,62.3,59.7,80
ADORA2B,25.3,49.4,93,43.3,108,40.5,64,49,55.9,65
TNA,1228.1,1163.3,2098.8,1328,2387.5,1608.8,1743.8,1768.4,3142.6,2010.8
CAPG,3173.4,4483.6,1915.2,3493.5,3910.2,2755,1708.1,1638.4,1732.3,1922.9
BAGE,10.8,10,-13.4,16.8,58.3,39.8,20.2,7,29.8,42.4
RNPEPL1,-170.4,-152.6,-176.3,-231.4,-136.5,-131.5,-110.7,-150.1,-182.2,-213.8
GSTM5,497.8,466.8,837.7,441.7,460.8,461.5,429.9,657.9,704.6,518
TLK1,364.2,354.9,353.5,350.2,283.4,238.7,327.3,335.8,384.6,336.1
AAMP,707.2,670.7,784,712.2,677.3,757.6,548.5,679.5,731.2,764
CPLX2,-73.7,-71.5,-113.4,-127.1,-73.4,-136.7,-130.8,-61.2,-109.9,-109.2
BTF3L3,3001.2,2949.4,2701.9,2587.8,2507.5,2685.8,2922.6,2582.6,3168.1,2674
RNF4,587.8,664.6,767.4,570.2,610.7,531.6,448.8,473.7,461.9,571.5
GAD1,-16,11,3.7,-27.4,-6.5,8.1,-6.5,15,2.5,4.7
S1P,234.1,337.9,400.7,240.1,355.7,203.9,377.3,348,252.7,331.6
PPP2R1B,171.7,128,186.2,151.9,119,160,154.5,153.7,266,142.8
MSX2,124,213.6,194.4,41.6,125,168,98.8,41.6,121,67.3
SMCX,166,195.6,140.8,138.2,124,163,118,95,-7.3,124.5
EZH2,10.8,52,21,56.3,24.6,32,36.7,26,3,14
ABCB1,126,99.8,238,26,12.9,207.9,235.5,270.8,263.2,125.4
CDKN3,10.8,63,16.7,92,65.9,72,57,38.1,71.1,55.1
VRK1,119,35.5,132.2,151.9,110.5,112.6,69.4,180.4,188.1,118.9
DUSP1,3765.5,3529.2,9914.2,6947.5,7812,3128.7,8556,4915.4,5840.8,6820.6
ZNF91,1301.2,1025,1373.8,936.2,1131.7,1152.2,1188.1,1158.6,1578.7,1551.1
MSR1,53.4,97,84,75.1,70.2,55.6,105.5,37.2,59.7,101.6
UQCRC2,615.9,694.2,693.2,701,613.9,742.9,993,665.1,889.6,775.8
ABCB5,80,111.3,51,101.3,120,61,52,100.5,120,65
RPS6KA3,388.2,378.9,351.2,387.8,249.4,456.1,412.3,381.5,359.7,465.8
SLC8A1,67.6,-8.4,18.9,52.7,-68.1,5.6,35.5,80.1,21,-9.4
MUT,288,283.4,258,238.2,276,274,266.5,295,295,214.5
CACNA1D,-32.7,3,20.3,6,-19,-49.3,53.4,1.7,-26,28.4
CD74,2458.3,6688.9,1859.3,2242.3,3483.2,3970.2,1370.1,1689.4,1958.3,2307.3
SCYA21,576.3,636.8,1006.8,630,339.3,926.3,896.7,1092.3,1263,696.9
TCEA2,288,246.8,389,399.1,268.7,208.8,324.2,272.4,444.9,417.8
CSF1R,345.3,768.5,296.3,665.5,383.6,423.6,318.6,457,202.8,258.3
NFATC1,76.4,73.8,78.2,206,144,45,151.9,100.5,38,62
OR1D4,127,112.2,124.5,56.3,95,88,71.1,65,185.3,61
UBE2L3,1018.7,1462.5,692.3,1133.1,1024.7,1166.7,1109.5,1109,827,867.3
PTPN21,65.9,70.2,93,125.7,76.7,108,91.6,74.6,126,126.3
VAMP2,131,70.2,137.5,123.1,126,92.4,103,68.1,158,172
KIAA0053,544.3,575.8,413.4,475.9,453.9,455.2,445.7,371.8,357.2,533.6
PCDHA4,28.6,26.9,-2.3,19.3,58.3,26,23,31.1,5.6,22.4
POLB,348,311.8,392.7,282.2,356.4,321.4,383.8,265.8,413.8,320.6
GATA2,184,182,368.5,263.3,311,229.1,273.4,221.2,148.4,391.6
UBE2D1,130,133.5,79,153.6,103.5,205.3,127.6,117.1,87.1,120.8
CSNK2A2,435.8,379.8,578.8,411,440.3,422.7,390.3,469.5,571.8,702.9
SFPQ,356.5,352.6,273,351,294.8,337.4,394.2,356.8,358,325.2
NRF1,143,199.6,114.4,154.5,111.3,198.3,139.7,89,163.7,98.9
STXBP1,555.3,368,636.9,526.3,697.6,600.4,590.8,566.9,639.6,866.4
CST4,-1.5,-36,53.9,-10.9,-83.9,21,5.4,52.6,72.8,-76
NFKB2,120,204.4,73.6,105.8,160.3,165,127.6,198.4,45.9,54.5
ADORA3,263.2,259.3,263,130,237,152.4,193.6,193.4,189.1,183.3
HNF4A,-13,24.6,-7.4,21.8,-31,-16.4,-64.2,-17.3,-38.5,-2.3
YWHAB,1959.4,2262.9,1851.4,1409.2,2154.3,1953,1968.7,1382.8,2061.1,1709.7
PSMC3,521.5,564.9,566.9,518.6,564.6,664.7,561.2,583.8,718.4,504.8
TNNI3,15.1,40,21.8,7.5,-36,-30,1.8,3,-22.7,43.3
PTAFR,228.6,524.6,293.2,421.7,623.6,382.4,340.8,307,290,255.4
ZYX,910,1238.3,1439,1249.8,1252.5,916.3,1345.3,830.3,870.5,1175.9
KIAA0203,9,11,28.2,19.3,-9.3,-1.3,-26.5,31.1,24.6,-7.5
RTVP1,196,222.1,166.5,258.2,144,135.4,87.1,124.5,137.5,109.5
VAMP3,-19,3,24.3,-0.4,4,-9,-6.5,-26.8,31.2,-0.3
PKLR,18.5,30.3,21,-4.6,-3,30,-4.2,14,30.5,-3.6
KIAA0320,614.1,533.3,604.2,406.1,394.9,475.2,421.1,575.8,467.2,534.4
TYRO3,79,82.4,78.2,87.1,129,89.1,109.7,79,1.4,49
KIAA0013,-37.9,-8.4,-6.5,-15.5,-51,8.1,7.8,-87.8,-9.5,-28.1
CAST,1018.7,1367.9,1086.4,1002.6,1011.1,1121.2,893.9,997,1037.5,1032.9
DNAJB1,1059,984.8,1628.5,1171.7,1439.7,1005.5,2231,1168.7,1788.6,1684.2
FABP4,839.5,424.7,1645.9,932.1,1069.4,738.4,2200.9,2245.7,1712.2,1868.2
RAB3A,-57.3,-76,1.7,-60.8,-73.4,-47.1,-10,-63.6,-8.4,-47.2
RASA1,323.4,414.3,377.2,339.8,384.4,243,428.7,228.7,430.8,344.4
REST,27.7,40,-0.3,10.2,84.4,22.7,-0.6,-4.4,53.7,28.4
MAP4,1056.2,1151.6,1646.6,1152.5,1053.8,1137.7,1147.1,1042.1,1028.3,1245.2
EPHB3,357.2,334.6,334.7,305.4,249.4,305.8,250.6,326.4,373,409.6
PRKCL1,456.6,408.3,424.6,344.4,380.4,418.5,372.5,289,368.8,336.1
CD44,331.6,520.2,383.1,490,738.8,479.7,348,326.4,436.4,477.2
PCSK5,36.7,16,71.1,73.6,58.3,93.6,68.5,73.8,61.4,88
MSH2,65,26,34.3,41.6,72,37.8,45,57,70.2,69.7
PEX6,170.6,127,223,141.7,101.6,82.6,74.6,137.5,148.4,150.5
APLP1,227.4,190,163.3,205.1,184.7,149.6,99.7,204.3,192.1,125.4
DPYD,245.6,392.3,141.8,240.1,243.9,377.1,342.4,236.3,359.7,331.6
KIAA0014,340.7,321.2,306.6,431,358.5,352.4,365.7,389.2,535.5,447
SCYA2,678.2,1557.1,1843.4,3596.2,2658.8,1966.7,5677.8,4526.1,9238.4,1836.3
KLRB1,70.2,321.2,43.5,396.3,85.3,183,18.5,30.3,76.7,89.1
CLTB,-156,-195.9,-224.3,-192.4,-227,-148.2,-321,-304.1,-239.5,-184.7
VTN,213,130.9,134.3,179,111.3,194.9,142.9,206,207,124.5
UBE2N,583.4,680.3,589.8,620.4,582.4,668.8,713.5,567.8,687,661.5
POU2F2,144,181,40.5,163,86.2,135.4,87.1,92,50.2,114.9
LGALS1,5616.4,5410.1,5707.8,6576.8,3608.1,4863,6072,6149.7,5179.2,4954.3
DLAT,52,62,69.4,53.4,30,25.2,56.3,78.1,46.8,44.1
TSPY,0,29.4,23.5,-0.4,-110.2,17.7,-7.7,71.2,-28.5,-4.9
EYA3,-9.4,34.3,19.6,14.8,70.2,36.7,0.6,-14.6,47.6,5.6
ZNF261,134,175,104.2,193.6,256.8,211.7,140.8,287.2,199.6,172
IRF4,7.3,0,53.2,-11.8,1.3,0.4,12.5,29.4,29,16.7
TFE3,374.2,393.2,443,432.3,419.7,413.5,371.2,357.7,386.2,402.4
DOCK2,351.1,269.6,163.3,257.4,294,347.1,220.8,256.5,113.5,209.2
ABAT,-8.7,16,13,26.9,-13,-7,7.8,8.3,4.7,16.7
DLX2,5.6,7.3,16.7,52,-27,6.4,18.5,26.9,21.7,-15.1
HSD17B1,73.8,52,48,23.5,1.3,-7,-81.8,-2.3,41.6,83
SMC1L1,175,215.4,195.3,210.7,208.7,243.8,203.3,63.2,191.1,221.9
ATP2A1,291.1,127,128.2,120.6,150.5,95.8,125.2,211.4,156.2,142.8
